lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n00088	Fonseca’s entry for 'Ablutio'		lexicalEntry:n00088.e01		
lexicogEntry:n00089	Fonseca’s entry for 'Ablutus'		lexicalEntry:n00089.e01		
lexicogEntry:n00090	Fonseca’s entry for 'Abluvium'		lexicalEntry:n00090.e01		
lexicogEntry:n00091	Fonseca’s entry for 'Abmatertera'		lexicalEntry:n00091.e01		
lexicogEntry:n00092	Fonseca’s entry for 'Abmitto'		lexicalEntry:n00092.e01		
lexicogEntry:n00093	Fonseca’s entry for 'Abnato'		lexicalEntry:n00093.e01		
lexicogEntry:n00094	Fonseca’s entry for 'Abneco'		lexicalEntry:n00094.e01		
lexicogEntry:n00095	Fonseca’s entry for 'Abnego'		lexicalEntry:n00095.e01		
lexicogEntry:n00096	Fonseca’s entry for 'Abnepos'		lexicalEntry:n00096.e01		
lexicogEntry:n00097	Fonseca’s entry for 'Abneptis'		lexicalEntry:n00097.e01		
lexicogEntry:n00098	Fonseca’s entry for 'Abnocto'		lexicalEntry:n00098.e01		
lexicogEntry:n00099	Fonseca’s entry for 'Abnodatus'		lexicalEntry:n00099.e01		
lexicogEntry:n00100	Fonseca’s entry for 'Abnodo'		lexicalEntry:n00100.e01		
lexicogEntry:n00101	Fonseca’s entry for 'Abnormis'		lexicalEntry:n00101.e01		
lexicogEntry:n00102	Fonseca’s entry for 'Abnuendus'		lexicalEntry:n00102.e01		
lexicogEntry:n00103	Fonseca’s entry for 'Abnumero'		lexicalEntry:n00103.e01		
lexicogEntry:n00104	Fonseca’s entry for 'Abnuo'		lexicalEntry:n00104.e01		
lexicogEntry:n00105	Fonseca’s entry for 'Abnutivus'		lexicalEntry:n00105.e01		
lexicogEntry:n00106	Fonseca’s entry for 'Abnuto'		lexicalEntry:n00106.e01		
lexicogEntry:n00107	Fonseca’s entry for 'Aboleo'		lexicalEntry:n00107.e01		
lexicogEntry:n00108	Fonseca’s entry for 'Abolesco'		lexicalEntry:n00108.e01		
lexicogEntry:n00109	Fonseca’s entry for 'Abolitio'		lexicalEntry:n00109.e01		
lexicogEntry:n00110	Fonseca’s entry for 'Abolitus'		lexicalEntry:n00110.e01		
lexicogEntry:n00111	Fonseca’s entry for 'Abolla'		lexicalEntry:n00111.e01		
lexicogEntry:n00112	Fonseca’s entry for 'Abolui'		lexicalEntry:n00112.e01		
lexicogEntry:n00113	Fonseca’s entry for 'Abominandus'		lexicalEntry:n00113.e01		
lexicogEntry:n00114	Fonseca’s entry for 'Abominatus'		lexicalEntry:n00114.e01		
lexicogEntry:n00115	Fonseca’s entry for 'Abomino'		lexicalEntry:n00115.e01		&
lexicogEntry:n00116	Fonseca’s entry for 'Abominor'		lexicalEntry:n00116.e01		
lexicogEntry:n00117	Fonseca’s entry for 'Abominosus'		lexicalEntry:n00117.e01		
lexicogEntry:n00118	Fonseca’s entry for 'Aborior'		lexicalEntry:n00118.e01		
lexicogEntry:n00119	Fonseca’s entry for 'Aboriscor'		lexicalEntry:n00119.e01		
lexicogEntry:n00120	Fonseca’s entry for 'Aborsus'		lexicalEntry:n00120.e01		
lexicogEntry:n00121	Fonseca’s entry for 'Abortio'		lexicalEntry:n00121.e01		
lexicogEntry:n00122	Fonseca’s entry for 'Abortio'		lexicalEntry:n00122.e01		
lexicogEntry:n00123	Fonseca’s entry for 'Abortivum'		lexicalEntry:n00123.e01		
lexicogEntry:n00124	Fonseca’s entry for 'Abortivus'		lexicalEntry:n00124.e01		
lexicogEntry:n00125	Fonseca’s entry for 'Aborto'		lexicalEntry:n00125.e01		
lexicogEntry:n00126	Fonseca’s entry for 'Abortus'		lexicalEntry:n00126.e01		
lexicogEntry:n00127	Fonseca’s entry for 'Abortus'		lexicalEntry:n00127.e01		
lexicogEntry:n00128	Fonseca’s entry for 'Abpatruus'		lexicalEntry:n00128.e01		
