ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n15287.sg01.s02		Lucr.			Entrada	 Entrada , chegada , vinda 	
lexicalSense:n15288.sg01.s01		Cic.			Falta de graça	 Falta de graça , ou de suavidade 	
lexicalSense:n15289.sg01.s01		Cic.			Mais desagradavelmente	 Mais desagradavelmente 	
lexicalSense:n15290.sg01.s01		Cic.			Desagradavel	 Desagradavel , molesto 	
lexicalSense:n15291.sg01.s01		Quinct.			Não julgado	 Não julgado 	
lexicalSense:n15293.sg01.s01		Liv.			Ajuntar dentro	 Ajuntar dentro , ou sobre 	
lexicalSense:n15293.sg01.s02					Impôr obrigação	 Impôr obrigação , ordenar 	
lexicalSense:n15293.sg01.s03		Caes.			Impôr	 Impôr , pôr em sima 	
lexicalSense:n15294.sg01.s01		Cic.			Que não jurou	 Que não jurou 	
lexicalSense:n15295.sg01.s01		Cic.			Injuria	 Injuria , affronta 	
lexicalSense:n15295.sg01.s02					Detrimento	 Detrimento , prejuizo , damno 	
lexicalSense:n15295.sg01.s03		Ter.			Injustiça	 Injustiça 	
lexicalSense:n15295.sg01.s04		Injuria, abl. abs. Ter.			Injustamente	 Injustamente , sem razão 	
lexicalSense:n15296.sg01.s01		Naev. apud Non.			Injuriosamente	 Injuriosamente 	
lexicalSense:n15297.sg01.s01		Sen.			Affrontar	 Affrontar , injuriar 	
lexicalSense:n15298.sg01.s01		Cic.			Affrontosamente	 Affrontosamente , injuriosamente 	
lexicalSense:n15299.sg01.s01					[Injurioso	 [ Injurioso , affrontoso . ] 	
lexicalSense:n15300.sg01.s01		Ter.			Injurioso	 Injurioso , affrontoso 	
lexicalSense:n15300.sg01.s02		Cic.			Injusto	 Injusto 	
lexicalSense:n15301.sg01.s01		Plaut.			Sem lei	 Sem lei , ímpio 	
lexicalSense:n15302.sg01.s01		Hor.			Não mandado	 Não mandado , não ordenado 	
lexicalSense:n15302.sg01.s02		Virg.			Natural	 Natural , espontaneo 	
lexicalSense:n15303.sg01.s01		Cic.			Falta de ordem ou mandado	 Falta de ordem ou mandado 	
lexicalSense:n15303.sg01.s99	usageExample:n15303.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15304.sg01.s01		Cic.			Injustamente	 Injustamente 	
lexicalSense:n15305.sg01.s01		Cic.			Injustiça	 Injustiça 	
lexicalSense:n15306.sg01.s01		Cic.			Iniquo	 Iniquo , injusto 	
lexicalSense:n15306.sg01.s02		Virg.			Muito grande	 Muito grande 	
lexicalSense:n15307.sg01.s01		Cat. apud Non.			Distribuir	 Distribuir 	
lexicalSense:n15308.sg01.s01		Col.			Fazer-se flexivel	 Fazer - se flexivel 	
lexicalSense:n15311.sg01.s01		Ovid.			Que se não póde navegar	 Que se não póde navegar , ou passar a nado 	
lexicalSense:n15312.sg01.s01		Cic.			Nascer juntamente	 Nascer juntamente , ou em alguma cousa 	
lexicalSense:n15313.sg01.s01		Cic.			Nadar dentro	 Nadar dentro , ou sobre 	
lexicalSense:n15314.sg01.s01		Cic.			Natural	 Natural , innato , que nasceo juntamente 	
lexicalSense:n15315.sg01.s01		Liv.			Que se não póde navegar	 Que se não póde navegar 	
lexicalSense:n15316.sg01.s01		Pomp. Mela.			Que navega	 Que navega 	
lexicalSense:n15317.sg01.s01		Virg.			Atar com outra cousa	 Atar com outra cousa , ou ao redor 	
lexicalSense:n15317.sg01.s99	usageExample:n15317.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15318.sg01.s01		Virg.			Atado	 Atado , & c 	
lexicalSense:n15319.sg01.s01		Apul.			Nexo	 Nexo , connexão , atadura de huma cousa com outra 	
lexicalSense:n15320.sg01.s01		Stat.			Arrimar-se	 Arrimar - se , encostar - se 	
lexicalSense:n15321.sg01.s01		Cic.			Arrimado	 Arrimado , encostado 	
lexicalSense:n15322.sg01.s01		Cic.			Nadar sobre	 Nadar sobre , ou dentro 	
lexicalSense:n15323.sg01.s01		Cic.			Innocente	 Innocente , não culpado 	
lexicalSense:n15323.sg01.s02		Plin.			Saudavel	 Saudavel , que não faz prejuizo à saude 	
lexicalSense:n15324.sg01.s01		Quinct.			Innocentemente	 Innocentemente , sem culpa 	
lexicalSense:n15325.sg01.s01		Cic.			Innocencia	 Innocencia 	
lexicalSense:n15326.sg01.s01		Ovid.			Sem fazer mal	 Sem fazer mal 	
lexicalSense:n15327.sg01.s01		Virg.			Innocente	 Innocente , que não causa damno 	
lexicalSense:n15327.sg01.s02					Que não recebe damno	 Que não recebe damno 	
lexicalSense:n15328.sg01.s01		Gell.			Que se não póde nomear	 Que se não póde nomear 	
lexicalSense:n15329.sg01.s01		Ovid.			Dar-se a conhecer	 Dar - se a conhecer 	
lexicalSense:n15330.sg01.s01		* Gell.			Ignorancia	 Ignorancia 	
lexicalSense:n15331.sg01.s01		Cic.			Renovar	 Renovar 	
lexicalSense:n15332.sg01.s01		Plaut.			Innocente	 Innocente 	
lexicalSense:n15332.sg01.s02		Sall.			A que se não fez mal	 A que se não fez mal 	
lexicalSense:n15333.sg01.s01		Lucr.			[Sereno	 [ Sereno , claro , sem nuvens . ] 	
lexicalSense:n15334.sg01.s01		Sen. Trag.			Sereno	 Sereno , claro , sem nuvens 	
lexicalSense:n15335.sg01.s01		Liv.			Passar a mulher para casa do marido	 Passar a mulher para casa do marido 	
lexicalSense:n15336.sg01.s01		Ovid.			Solteiro	 Solteiro 	
lexicalSense:n15337.sg01.s01		Cic.			Innumeravel	 Innumeravel 	
lexicalSense:n15338.sg01.s01		Cic.			Numero infinito	 Numero infinito , multidão innumeravel 	
lexicalSense:n15339.sg01.s01		Lucr.			Innumeraveis vezes	 Innumeraveis vezes 	
lexicalSense:n15340.sg01.s01		Lucr.			[Innumeravel	 [ Innumeravel , que se não póde contar . ] 	
lexicalSense:n15341.sg01.s01		* Plin.			[Innumeravel	 [ Innumeravel , que se não póde contar . ] 	
lexicalSense:n15342.sg01.s01		* Cic.			Innumeravel	 Innumeravel , que se não póde contar 	
lexicalSense:n15343.sg01.s01		Ad Her.			Fazer sinal com a cabeça	 Fazer sinal com a cabeça 	
lexicalSense:n15344.sg01.s01		Virg.			Não casado	 Não casado 	
lexicalSense:n15344.sg01.s99	usageExample:n15344.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15345.sg01.s01		Sen.			Nutrir	 Nutrir , crear juntamente 	
lexicalSense:n15346.sg01.s01		Plin.			Creado em	 Creado em , ou dentro de alguma cousa 	
lexicalSense:n15347.sg01.s01		Ovid.			Lembrado	 Lembrado , não esquecido 	
lexicalSense:n15348.sg01.s01		Ovid.			Não mergulhado	 Não mergulhado , não affogado 	
lexicalSense:n15349.sg01.s01		Cic.			Escurecer	 Escurecer , acabar , extinguir 	
lexicalSense:n15350.sg01.s01		Sen. Tr.			Desobediente	 Desobediente 	
lexicalSense:n15351.sg01.s01		Catul.			Que se não póde observar	 Que se não póde observar 	
lexicalSense:n15352.sg01.s01		Suet.			Inadvertencia	 Inadvertencia , falta de advertencia 	
lexicalSense:n15353.sg01.s01		Ovid.			Não observado	 Não observado 	
lexicalSense:n15354.sg01.s01		Luc.			Que nunca se põe no occidente	 Que nunca se põe no occidente , que apparece sempre no horizonte 	
lexicalSense:n15354.sg01.s99	usageExample:n15354.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15356.sg01.s01		Col.			Cobrir a sementeira	 Cobrir a sementeira , destorroando , ou gradando a terra 	
lexicalSense:n15357.sg01.s01		Col.			Enxertia de borbulha	 Enxertia de borbulha 	
lexicalSense:n15358.sg01.s01		Plin.			Enxertador de borbulha	 Enxertador de borbulha 	
lexicalSense:n15359.sg01.s01		Col.			Enxertar de borbulha	 Enxertar de borbulha 	
lexicalSense:n15360.sg01.s01		Col.			Fazer cheiroso	 Fazer cheiroso 	
lexicalSense:n15361.sg01.s01		* Cic.			Persentir pelo cheiro	 Persentir pelo cheiro 	
lexicalSense:n15362.sg01.s01		Pers.			Não cheiroso	 Não cheiroso 	
lexicalSense:n15363.sg01.s01		Gell.			Sem maior damno	 Sem maior damno 	
lexicalSense:n15364.sg01.s01		Ovid.			Desembaraçado	 Desembaraçado , não offendido 	
lexicalSense:n15364.sg01.s02		Quinct.			Que não offende	 Que não offende 	
lexicalSense:n15365.sg01.s01		Cic.			Que não satisfaz as obrigações da amizade	 Que não satisfaz as obrigações da amizade 	
lexicalSense:n15365.sg01.s02					Feito contra as leis da equidade	 Feito contra as leis da equidade 	
lexicalSense:n15366.sg01.s01		Lucr.			Sem cheiro	 Sem cheiro 	
lexicalSense:n15367.sg01.s01		Virg.			Crescer mais	 Crescer mais , ou sobre 	
lexicalSense:n15367.sg01.s02		Gell.			Fazer grande	 Fazer grande , augmentar 	
lexicalSense:n15368.sg01.s01		Gell.			De máo agouro	 De máo agouro 	
lexicalSense:n15369.sg01.s01		Hor.			Infeliz	 Infeliz , desgraçado , de máo agouro 	
lexicalSense:n15370.sg01.s01		Col.			Fazer sombrio	 Fazer sombrio 	
lexicalSense:n15371.sg01.s01		Sen.			Descoberto	 Descoberto 	
lexicalSense:n15372.sg01.s01		Cic.			Pobreza	 Pobreza , indigencia , necessidade 	
lexicalSense:n15373.sg01.s01		Gell.			Que se não póde julgar	 Que se não póde julgar , que haja de acontecer 	
lexicalSense:n15374.sg01.s01		Suet.			[De improviso	 [ De improviso , subitamente , sem se imaginar . ] 	
lexicalSense:n15375.sg01.s01		Sen.			[De improviso	 [ De improviso , subitamente , sem se imaginar . ] 	
lexicalSense:n15376.sg01.s01		Liv.			De improviso	 De improviso , subitamente , sem se imaginar 	
lexicalSense:n15377.sg01.s01		Cic.			[Inopinado	 [ Inopinado , improviso , que succede sem se haver imaginado . ] 	
lexicalSense:n15378.sg01.s01		Virg.			Inopinado	 Inopinado , improviso , que succede sem se haver imaginado 	
lexicalSense:n15379.sg01.s01		Plaut.			Necessitado	 Necessitado , destituido , pobre 	
lexicalSense:n15380.sg01.s01		Cic.			Importuno	 Importuno , intempestivo , enfadonho 	
lexicalSense:n15381.sg01.s01		Cic.			Pobre	 Pobre , falto , carecedor , necessitado 	
lexicalSense:n15382.sg01.s01		Sen.			Não desejado	 Não desejado 	
lexicalSense:n15383.sg01.s01		Apul.			Não appetecivel	 Não appetecivel , que se não deve desejar 	
lexicalSense:n15384.sg01.s01		Acc. apud Non.			Inexoravel	 Inexoravel 	
lexicalSense:n15385.sg01.s01		Cic.			Não pedido	 Não pedido , sobre que se não disse palavra 	
lexicalSense:n15386.sg01.s01		Cels.			Desordenadamente	 Desordenadamente 	
lexicalSense:n15387.sg01.s01		Cic.			Desordenado	 Desordenado , perturbado , confuso , sem ordem 	
lexicalSense:n15388.sg01.s01		* Tac.			Nascer	 Nascer 	
lexicalSense:n15389.sg01.s01		Ad Her.			Sem ornato	 Sem ornato 	
lexicalSense:n15390.sg01.s01		Cic.			Não ornado	 Não ornado , não enfeitado 	
lexicalSense:n15391.sg01.s01		* Plin.			Que não tem bocca	 Que não tem bocca 	
lexicalSense:n15392.sg01.s01		* Quinct.			Não ocioso	 Não ocioso 	
lexicalSense:n15393.sg01.s01		Apul.			Triunfante	 Triunfante 	
lexicalSense:n15394.sg01.s01		Sall.			Primeiramente	 Primeiramente , sobre tudo , em primeiro lugar 	
lexicalSense:n15396.sg01.s01		Catul.			Desassocego	 Desassocego 	
lexicalSense:n15397.sg01.s01		Vell. Pat.			Desassocegado	 Desassocegado , perturbado , inquieto 	
lexicalSense:n15398.sg01.s01		Liv.			Agitação	 Agitação , movimento , inquietação 	
lexicalSense:n15400.sg01.s01		Tac.			Perturbar	 Perturbar , inquietar , desassocegar 	
lexicalSense:n15401.sg01.s01		Sen.			Desassocego	 Desassocego , inquietação 	
lexicalSense:n15402.sg01.s01		Liv.			Inquieto	 Inquieto , desassocegado 	
lexicalSense:n15403.sg01.s01		Varr. apud Non.			[Moradora	 [ Moradora , e morador em casas de aluguel . ] 	
lexicalSense:n15404.sg01.s01		Cic.			Moradora	 Moradora , e morador em casas de aluguel 	
lexicalSense:n15405.sg01.s01		Gell.			Immundicia	 Immundicia , porquidade 	
lexicalSense:n15406.sg01.s01		Cic.			Sordidamente	 Sordidamente , torpemente 	
lexicalSense:n15408.sg01.s01		Cic.			Manchar	 Manchar , çujar 	
lexicalSense:n15408.sg01.s02					Perverter	 Perverter , corromper 	
lexicalSense:n15408.sg01.s03		Mart.			Tingir	 Tingir 	
lexicalSense:n15409.sg01.s01		Catul.			Dizer	 Dizer 	
lexicalSense:n15410.sg01.s01		Cic.			Inquirir	 Inquirir , investigar , examinar , informar - se 	
lexicalSense:n15411.sg01.s01		Cic.			Inquirição	 Inquirição , informação , devassa 	
lexicalSense:n15412.sg01.s01		Gell.			Mais cuidadosamente	 Mais cuidadosamente 	
lexicalSense:n15413.sg01.s01		Cic.			O que inquire	 O que inquire , investigador , inquiridor , devassante 	
lexicalSense:n15414.sg01.s01		Liv.			Inquirido	 Inquirido , investigado , examinado 	
lexicalSense:n15414.sg02.s02		Plaut.			Não inquirido	 Não inquirido 	
lexicalSense:n15415.sg01.s01		Cat.			Raspar	 Raspar 	
lexicalSense:n15416.sg01.s01		Cat.			Raspado	 Raspado 	
lexicalSense:n15417.sg01.s01		Pacuv. apud Non.			Pesquizar	 Pesquizar , investigar 	
lexicalSense:n15418.sg01.s01		Plin.			Doentio	 Doentio , não salutifero 	
lexicalSense:n15419.sg01.s01		Plin.			Qualidade	 Qualidade , que faz as cousas pouco sadias 	
lexicalSense:n15420.sg01.s01		Macr.			Doentiamente	 Doentiamente 	
lexicalSense:n15421.sg01.s01		Virg.			Não saudado	 Não saudado 	
lexicalSense:n15422.sg01.s01		Cic.			Incuravel	 Incuravel 	
lexicalSense:n15422.sg01.s02		Quinct.			Incorrigivel	 Incorrigivel , que se não póde emendar 	
lexicalSense:n15423.sg01.s01		Plaut.			Loucamente	 Loucamente 	
lexicalSense:n15423.sg01.s02					Com vehemencia	 Com vehemencia , com impeto 	
lexicalSense:n15424.sg01.s01		Cic.			Doudice	 Doudice , loucura , furor , frenesi 	
lexicalSense:n15424.sg01.s99	usageExample:n15424.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15425.sg01.s01		Cic.			Endoudecer	 Endoudecer , enlouquecer , perder o juizo 	
lexicalSense:n15426.sg01.s01		Cic.			Loucura	 Loucura 	
lexicalSense:n15427.sg01.s01		Plaut.			Muito	 Muito , excessivamente , com vehemencia 	
lexicalSense:n15428.sg01.s01		Cic.			Doudo	 Doudo , louco 	
lexicalSense:n15428.sg01.s02		Virg.			Excessivo	 Excessivo , extremoso , desmedido 	
lexicalSense:n15429.sg01.s01		Cic.			Insaciavel	 Insaciavel , que se não póde fartar 	
lexicalSense:n15429.sg01.s02					Que não farta	 Que não farta 	
lexicalSense:n15430.sg01.s01		Lucr.			Insaciavelmente	 Insaciavelmente 	
lexicalSense:n15431.sg01.s01		Stat.			Não satisfeito	 Não satisfeito 	
lexicalSense:n15432.sg01.s01		Plaut.			Desejo insaciavel	 Desejo insaciavel 	
lexicalSense:n15433.sg01.s01		* Plin.			Que nasce espontaneamente	 Que nasce espontaneamente , sem se semear 	
lexicalSense:n15434.sg01.s01		Cic.			Insaciavel	 Insaciavel 	
lexicalSense:n15435.sg01.s01		Cic.			Insaciavelmente	 Insaciavelmente 	
lexicalSense:n15436.sg01.s01		Plin.			Esculpido	 Esculpido 	
lexicalSense:n15437.sg01.s01		Plaut.			Subir	 Subir 	
lexicalSense:n15438.sg01.s01		Plaut.			Embarque	 Embarque 	
lexicalSense:n15439.sg01.s01		Suet.			Subido	 Subido , montado 	
lexicalSense:n15440.sg01.s01		Cic.			Ignorantemente	 Ignorantemente 	
lexicalSense:n15441.sg01.s01		Cic.			Ignorancia	 Ignorancia 	
lexicalSense:n15442.sg01.s01		Cic.			Ignorantemente	 Ignorantemente , sem polimento , sem elegancia 	
lexicalSense:n15443.sg01.s01		Cic.			Ignorancia	 Ignorancia 	
lexicalSense:n15444.sg01.s01		Afran. apud Non.			Pouco agradavel	 Pouco agradavel 	
lexicalSense:n15445.sg01.s01		Ter.			Grosseiro	 Grosseiro , pouco polido , sem elegancia , mal composto 	
lexicalSense:n15446.sg01.s01		Cic.			Ignorante	 Ignorante , não sabedor 	
lexicalSense:n15447.sg01.s01		Cic.			Escrever sobre	 Escrever sobre , ou em alguma cousa , pôr inscripção , intitular 	
lexicalSense:n15447.sg01.s02					Pôr sobescrito na carta	 Pôr sobescrito na carta 	
lexicalSense:n15448.sg01.s01		Cic.			Inscripção	 Inscripção , titulo 	
lexicalSense:n15448.sg01.s02		Ulp.			Accusação	 Accusação 	
lexicalSense:n15449.sg01.s01		Gell.			Inscripção	 Inscripção 	
lexicalSense:n15450.sg01.s01		Cic.			Intitulado	 Intitulado , que tem inscripção , & c 	
lexicalSense:n15450.sg01.s02		Plin.			Marcado com ferrete	 Marcado com ferrete 	
lexicalSense:n15450.sg02.s03		Varr.			Não escrito	 Não escrito 	
lexicalSense:n15451.sg01.s01		Hor.			Esculpir	 Esculpir , gravar , entalhar 	
lexicalSense:n15452.sg01.s01		Cic.			Esculpido	 Esculpido 	
lexicalSense:n15453.sg01.s01		Sen.			Indivisivel	 Indivisivel , que se não póde cortar 	
lexicalSense:n15454.sg01.s01		Enn. apud Gell.			Dize	 Dize , conta 	
lexicalSense:n15455.sg01.s01		Cat. apud Gell.			Dizendo	 Dizendo , contando , proseguindo 	
lexicalSense:n15456.sg01.s01		Ad Her.			Cortar	 Cortar , dividir 	
lexicalSense:n15457.sg01.s01		Plin.			Insectos	 Insectos , v . g . formigas , & c 	
lexicalSense:n15458.sg01.s01		Cic.			Que se deve perseguir	 Que se deve perseguir 	
lexicalSense:n15459.sg01.s01		Gell.			Perseguindo	 Perseguindo , ultrajando , injuriosamente 	
lexicalSense:n15460.sg01.s01		Cic.			Perseguição	 Perseguição , ultraje , injuria 	
lexicalSense:n15461.sg01.s01		Liv.			Perseguidor	 Perseguidor 	
lexicalSense:n15462.sg01.s01		Hirt.			Perseguido	 Perseguido 	
lexicalSense:n15462.sg01.s02		Tac.			Que perseguio	 Que perseguio 	
lexicalSense:n15463.sg01.s01		Gell.			Narração	 Narração 	
lexicalSense:n15464.sg01.s01		Plaut.			[Perseguir	 [ Perseguir , vexar , instar . ] 	
lexicalSense:n15465.sg01.s01		Cic.			Perseguir	 Perseguir , vexar , instar 	
lexicalSense:n15465.sg01.s99	usageExample:n15465.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15466.sg01.s01		Sen.			Cortadura	 Cortadura 	
lexicalSense:n15467.sg01.s01		Ovid.			Cortado	 Cortado 	
lexicalSense:n15468.sg01.s01		Lucr.			Sem se poder socegar	 Sem se poder socegar 	
lexicalSense:n15469.sg01.s01		* Cic.			Turbulento	 Turbulento , inquieto , desassocegado , movido 	
lexicalSense:n15471.sg01.s01		Gell.			Semear dentro	 Semear dentro 	
lexicalSense:n15472.sg01.s01		Hor.			Envelhecer-se	 Envelhecer - se 	
lexicalSense:n15473.sg01.s01		Gell.			[Insensivel.]	 [ Insensivel . ] 	
lexicalSense:n15474.sg01.s01		Lucr.			Insensivel	 Insensivel 	
lexicalSense:n15475.sg01.s01		Sen.			Inseparavel	 Inseparavel 	
lexicalSense:n15476.sg01.s01		Macr.			Inseparavelmente	 Inseparavelmente 	
lexicalSense:n15477.sg01.s01		Sen.			Cercado	 Cercado 	
lexicalSense:n15478.sg01.s01		Cic.			Não sepultado	 Não sepultado 	
lexicalSense:n15479.sg01.s01		Caes.			Que segue	 Que segue , seguinte 	
lexicalSense:n15480.sg01.s01		Gell.			Sem connexão	 Sem connexão 	
lexicalSense:n15481.sg01.s01		Cic.			Seguir	 Seguir 	
lexicalSense:n15481.sg01.s02					Perseguir	 Perseguir 	
lexicalSense:n15481.sg01.s03		Virg.			Instar	 Instar , proseguir 	
lexicalSense:n15482.sg01.s01		Cic.			Que seguio	 Que seguio , ou perseguio 	
lexicalSense:n15483.sg01.s01		Stat.			Nublado	 Nublado , não sereno 	
lexicalSense:n15484.sg01.s01		Virg.			Semear	 Semear , plantar , enxertar 	
lexicalSense:n15484.sg01.s02		Hor.			Introduzir	 Introduzir , metter no número 	
lexicalSense:n15485.sg01.s01		Cic.			Introduzir	 Introduzir , metter , enxerir , embutir 	
lexicalSense:n15485.sg01.s02		Ovid.			Misturar	 Misturar 	
lexicalSense:n15486.sg01.s01		Stat.			Entrar	 Entrar , occupar insensivelmente 	
lexicalSense:n15487.sg01.s01		Lucr.			Enxerindo	 Enxerindo 	
lexicalSense:n15488.sg01.s01		Virg.			Metter dentro	 Metter dentro 	
lexicalSense:n15489.sg01.s01		Caes.			Enverido	 Enverido , & c 	
lexicalSense:n15490.sg01.s01		Cic.			Servir	 Servir , fazer serviço , obsequiar 	
lexicalSense:n15490.sg01.s02					Empregar-se	 Empregar - se , applicar - se , estudar 	
lexicalSense:n15491.sg01.s01		Stat.			Observar diligentemente	 Observar diligentemente 	
lexicalSense:n15492.sg01.s01		Liv.			Presidiado	 Presidiado 	
lexicalSense:n15493.sg01.s01		Ovid.			Assobiar	 Assobiar , soprar , zunir 	
lexicalSense:n15494.sg01.s01		Stat.			Não enxuto	 Não enxuto , não secco 	
lexicalSense:n15496.sg01.s01		Cic.			Estar assentado sobre	 Estar assentado sobre 	
lexicalSense:n15496.sg01.s02		Liv.			Occupar	 Occupar , apoderar - se 	
lexicalSense:n15496.sg01.s03		Virg.			Habitar	 Habitar , morar 	
lexicalSense:n15497.sg01.s01		Cic.			Ciladas	 Ciladas , emboscadas , traições 	
lexicalSense:n15498.sg01.s01		* Justin.			Á traição	 Á traição 	
lexicalSense:n15499.sg01.s01		Cic.			O que arma ciladas	 O que arma ciladas , traidor 	
lexicalSense:n15501.sg01.s01		Cic.			Armar ciladas	 Armar ciladas , traições , & c 	
lexicalSense:n15501.sg01.s02					Espreitar	 Espreitar , procurar surprender , observar 	
lexicalSense:n15502.sg01.s01		Cic.			Armando ciladas	 Armando ciladas , com traições , astutamente 	
lexicalSense:n15503.sg01.s01					Traidor	 Traidor , cheio de ciladas , de traições , de enganos 	
lexicalSense:n15504.sg01.s01		Virg.			Assentar-se	 Assentar - se , pôr - se , fazer assento sobre alguma cousa descendo 	
lexicalSense:n15505.sg01.s01		Cic.			Insignia	 Insignia , sinal , divisa , estendarte , bandeira , guião , brazão de armas , & c 	
lexicalSense:n15506.sg01.s01		Ad Her.			Assinalar	 Assinalar , distinguir com insignia 	
lexicalSense:n15506.sg01.s02		Plin. Jun.			Fazer illustre	 Fazer illustre , famoso , & c 	
lexicalSense:n15507.sg01.s01		Cic.			Insigne	 Insigne , consideravel , illustre , memoravel , notavel , extraordinario 	
lexicalSense:n15508.sg01.s01		Plin.			Nodoas	 Nodoas , manchas , sinaes no rosto 	
lexicalSense:n15509.sg01.s01		Cic.			[Insignemente	 [ Insignemente , notavelmente . ] 	
lexicalSense:n15510.sg01.s01		Cic.			Insignemente	 Insignemente , notavelmente 	
lexicalSense:n15511.sg01.s01		Cic.			Assignalado	 Assignalado , distincto com sinal 	
lexicalSense:n15512.sg01.s01		Lucr.			Instrumento de tecelão	 Instrumento de tecelão , em que se enrola a têa 	
lexicalSense:n15513.sg01.s01		Liv.			Soltar sobre	 Soltar sobre , ou em alguma cousa 	
lexicalSense:n15514.sg01.s01		Stat.			Juntamente	 Juntamente 	
lexicalSense:n15515.sg01.s01		Cic.			Accusação	 Accusação 	
lexicalSense:n15517.sg01.s01		Cic.			Accusar principalmente com falsidade	 Accusar principalmente com falsidade 	
lexicalSense:n15517.sg01.s02		* Vet. Poet. apud Cic.			Fingir	 Fingir , dissimular 	
lexicalSense:n15518.sg01.s01		Virg.			Corrupto	 Corrupto , impuro 	
lexicalSense:n15519.sg01.s01		Cic.			Insinuação	 Insinuação 	
lexicalSense:n15520.sg01.s01		Varr.			Que se introduzio na amizade	 Que se introduzio na amizade , & c 	
lexicalSense:n15521.sg01.s01		Cic.			Insinuar	 Insinuar , metter no seio , ou ás escondidas 	
lexicalSense:n15521.sg01.s02					Insinuar-se	 Insinuar - se , introduzir - se 	
lexicalSense:n15522.sg01.s01		Gell.			Mais insipido	 Mais insipido , mais ignorante 	
lexicalSense:n15523.sg01.s01					Ignorante	 Ignorante , nescio , louco 	
lexicalSense:n15524.sg01.s01		Cic.			Insulsamente	 Insulsamente , ignorantemente 	
lexicalSense:n15525.sg01.s01		Cic.			Ignorancia	 Ignorancia , loucura 	
lexicalSense:n15526.sg01.s01		Varr.			Lançar	 Lançar , ou metter dentro 	
lexicalSense:n15527.sg01.s01		Caes.			Estribar-se	 Estribar - se , firmar - se 	
lexicalSense:n15527.sg01.s02		Cic.			Teimar	 Teimar , obstinar - se , instar , proseguir 	
lexicalSense:n15527.sg01.s03					Deter-se	 Deter - se , demorar - se 	
lexicalSense:n15527.sg01.s04		Plaut.			Começar	 Começar 	
lexicalSense:n15528.sg01.s01		Cic.			Enxertia	 Enxertia 	
lexicalSense:n15529.sg01.s01		Varr.			Enxertado	 Enxertado 	
lexicalSense:n15529.sg01.s02		Plin. Jun.			Não natural	 Não natural , vindo de fora 	
lexicalSense:n15530.sg01.s01		Hor.			Enxertado	 Enxertado 	
lexicalSense:n15530.sg01.s99	usageExample:n15530.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15531.sg01.s01		Plin.			Enxertador	 Enxertador 	
lexicalSense:n15532.sg01.s01		Col.			Garfo da arvore para enxertia	 Garfo da arvore para enxertia 	
lexicalSense:n15533.sg01.s01		Col.			Enxertado	 Enxertado 	
lexicalSense:n15533.sg01.s02		Cic.			Innato	 Innato , ingenito , natural 	
lexicalSense:n15534.sg01.s01		Plin.			Enxertia	 Enxertia 	
lexicalSense:n15535.sg01.s01		Liv.			Insociavel	 Insociavel , que se não póde acompanhar 	
lexicalSense:n15535.sg01.s02		Tac.			Em que não póde haver companhia	 Em que não póde haver companhia 	
lexicalSense:n15536.sg01.s01		Hor.			Inconsolavelmente	 Inconsolavelmente 	
lexicalSense:n15537.sg01.s01		Plin.			Seccura ao Sol	 Seccura ao Sol 	
lexicalSense:n15538.sg01.s01		Col.			Secco	 Secco , passado ao Sol 	
lexicalSense:n15538.sg01.s99	usageExample:n15538.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n15539.sg01.s01		Cic.			Não costumado	 Não costumado , que não tem prática , ou exercicio 	
lexicalSense:n15539.sg01.s02					Desusado	 Desusado , não usado 	
