ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n00059.sg01.s01		Cic.			Apartar	 Apartar , enxotar , levar diante de si 	Accommoda-se por translação ás cousas incorporeas.
lexicalSense:n00059.sg01.s99	usageExample:n00059.sg01.s99.u01, usageExample:n00059.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00061.sg01.s01		Cic.			Lançar ou apartar de si com desprezo ou aversão	 Lançar ou apartar de si com desprezo ou aversão 	
lexicalSense:n00061.sg01.s02					Vender por todo o preço	 Vender por todo o preço , ou muito barato 	
lexicalSense:n00061.sg01.s03					Desprezar	 Desprezar 	
lexicalSense:n00061.sg01.s04					Desistir	 Desistir , deixar , abrir mão de alguma cousa , ou mudar de tenção ou vontade a seu respeito 	
lexicalSense:n00061.sg01.s99	usageExample:n00061.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00062.sg01.s01		Ter.			Ausencia	 Ausencia 	
lexicalSense:n00063.sg01.s01		Plaut.			Ausentar-se a miude	 Ausentar - se a miude 	
lexicalSense:n00064.sg01.s01		Cic.			Ausencia	 Ausencia 	
lexicalSense:n00064.sg01.s02		Virg.			Lugar	 Lugar , por onde se póde ausentar 	
lexicalSense:n00065.sg01.s01		Plaut.			Vai-se	 Vai - se 	
lexicalSense:n00067.sg01.s01		Cic.			Tirar	 Tirar , desapossar por justiça 	
lexicalSense:n00067.sg01.s99	usageExample:n00067.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00068.sg01.s01		Pacuv. apud Non.			[Desunir	 [ Desunir , separar , apartar . ] 	
lexicalSense:n00069.sg01.s01		Virg.			Desunir	 Desunir , separar , apartar 	
lexicalSense:n00073.sg01.s01		Cic.			Negar com juramento a verdade	 Negar com juramento a verdade 	
lexicalSense:n00074.sg01.s01		Colum.			Escava das arvores	 Escava das arvores , ou vides 	
lexicalSense:n00076.sg01.s01		Colum.			Escavar as arvores	 Escavar as arvores , ou vides 	
lexicalSense:n00077.sg01.s01		(casus) Quinct.			Ablativo	 Ablativo 	
lexicalSense:n00078.sg01.s01		Cic.			Tirado	 Tirado , levado , furtado 	
lexicalSense:n00079.sg01.s01		* Plaut.			Vendavel	 Vendavel 	
lexicalSense:n00080.sg01.s01		Liv.			Acção de enviar	 Acção de enviar 	
lexicalSense:n00082.sg01.s01		Cic.			Enviar	 Enviar , mandar para outra parte 	
lexicalSense:n00083.sg01.s01		Ter.			Dissipar	 Dissipar , consumir comendo 	
lexicalSense:n00084.sg01.s01		Suet.			Alugar	 Alugar , dar de arrendamento 	
lexicalSense:n00085.sg01.s01		Hor.			Ser dissemelhante	 Ser dissemelhante 	
lexicalSense:n00086.sg01.s01		Cic.			Alimpar lavando	 Alimpar lavando 	
lexicalSense:n00086.sg01.s02					Purificar	 Purificar , expiar 	
lexicalSense:n00086.sg01.s99	usageExample:n00086.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00088.sg01.s01		Plin.			Acto de alimpar lavando	 Acto de alimpar lavando 	
lexicalSense:n00089.sg01.s01		Varr.			Lavado	 Lavado , limpo 	
lexicalSense:n00090.sg01.s01		Laber. apud Gell.			Diluvio	 Diluvio 	
lexicalSense:n00091.sg01.s01		Cai. Ict.			Irmã da terceira avó	 Irmã da terceira avó 	
lexicalSense:n00092.sg01.s01		* Plaut.			Mandar	 Mandar 	
lexicalSense:n00093.sg01.s01		Stat.			Salvar-se a nado	 Salvar - se a nado 	
lexicalSense:n00094.sg01.s01		* Plaut.			Matar	 Matar 	
lexicalSense:n00095.sg01.s01		Virg.			Negar o que se pede ou requer	 Negar o que se pede ou requer 	
lexicalSense:n00096.sg01.s01		Suet.			Terceiro neto	 Terceiro neto 	
lexicalSense:n00097.sg01.s01		Suet.			Terceira neta	 Terceira neta 	
lexicalSense:n00098.sg01.s01		Gell.			Pernoitar fóra de sua casa	 Pernoitar fóra de sua casa 	
lexicalSense:n00100.sg01.s01		Col.			Cortar os nós	 Cortar os nós 	
lexicalSense:n00101.sg01.s01		Hor.			Irregular	 Irregular , fóra da ordem 	
lexicalSense:n00102.sg01.s01		Sen. Tr.			Que se hade ou deve rejeitar	 Que se hade ou deve rejeitar , & c 	
lexicalSense:n00103.sg01.s01		Gell.			Contar tudo ou inteiramente	 Contar tudo ou inteiramente 	
lexicalSense:n00104.sg01.s01		Cic.			Negar	 Negar , recusar , principalmente fazendo sinal com a cabeça 	
lexicalSense:n00104.sg01.s99	usageExample:n00104.sg01.s99.u01, usageExample:n00104.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00105.sg01.s01		Paul. Ict.			Que diz que não	 Que diz que não 	
lexicalSense:n00106.sg01.s01		Plaut.			Recusar	 Recusar , negar a miude , acenando , ou fazendo sinal com os olhos 	
