lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n14170.e02_comp	Fonseca’s subentry for '[Immutabilis]'		lexicalEntry:n14170.e02	
lexicogComponent:n14173.e02_comp	Fonseca’s subentry for '[Immutatus]'		lexicalEntry:n14173.e02	
lexicogComponent:n14352.e02_comp	Fonseca’s subentry for 'Impromiscus'	l.	lexicalEntry:n14352.e02	
lexicogComponent:n14402.e02_comp	Fonseca’s subentry for '[Imputatus]'		lexicalEntry:n14402.e02	
lexicogComponent:n14584.e02_comp	Fonseca’s subentry for '[Incitus]'		lexicalEntry:n14584.e02	
lexicogComponent:n14599.e02_comp	Fonseca’s subentry for '[Inclinis]'		lexicalEntry:n14599.e02	
lexicogComponent:n14608.e02_comp	Fonseca’s subentry for '[Incoctus]'		lexicalEntry:n14608.e02	
lexicogComponent:n14825.e02_comp	Fonseca’s subentry for '[Indictus]'		lexicalEntry:n14825.e02	
lexicogComponent:n15068.e02_comp	Fonseca’s subentry for 'Inficetus'		lexicalEntry:n15068.e02	
lexicogComponent:n15138.e02_comp	Fonseca’s subentry for '[Infra]'	e	lexicalEntry:n15138.e02	
lexicogComponent:n15141.e02_comp	Fonseca’s subentry for '[Infraenatus]'		lexicalEntry:n15141.e02	
lexicogComponent:n15414.e02_comp	Fonseca’s subentry for '[Inquisitus]'		lexicalEntry:n15414.e02	
lexicogComponent:n15450.e02_comp	Fonseca’s subentry for '[Inscriptus]'		lexicalEntry:n15450.e02	
lexicogComponent:n15640.e02_comp	Fonseca’s subentry for '[Insuetus]'		lexicalEntry:n15640.e02	
lexicogComponent:n15664.e02_comp	Fonseca’s subentry for '[Intectus]'		lexicalEntry:n15664.e02	
lexicogComponent:n15702.e02_comp	Fonseca’s subentry for '[Intentatus]'		lexicalEntry:n15702.e02	
lexicogComponent:n16111.e02_comp	Fonseca’s subentry for '[Invisus]'		lexicalEntry:n16111.e02	
lexicogComponent:n16139.e02_comp	Fonseca’s subentry for '[Invocatus]'		lexicalEntry:n16139.e02	
lexicogComponent:n16159.e02_comp	Fonseca’s subentry for '[Inustus]'		lexicalEntry:n16159.e02	
lexicogComponent:n16204.e02_comp	Fonseca’s subentry for 'Irenarches'	l.	lexicalEntry:n16204.e02	
lexicogComponent:n16214.e02_comp	Fonseca’s subentry for '[Irrasus]'		lexicalEntry:n16214.e02	
lexicogComponent:n16298.e02_comp	Fonseca’s subentry for 'Istic'	l.	lexicalEntry:n16298.e02	
lexicogComponent:n16299.e02_comp	Fonseca’s subentry for 'Istic'	l.	lexicalEntry:n16299.e02	
