lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n07733.e02_comp	Cardoso’s subentry for 'farsilis'	siue	lexicalEntry:n07733.e02	
lexicogComponent:n07812.e02_comp	Cardoso’s subentry for 'febricitor'	siue	lexicalEntry:n07812.e02	
lexicogComponent:n07886.e02_comp	Cardoso’s subentry for 'ferocia'	siue	lexicalEntry:n07886.e02	
lexicogComponent:n07916.e02_comp	Cardoso’s subentry for 'feruesco'	siue	lexicalEntry:n07916.e02	
lexicogComponent:n07920.e02_comp	Cardoso’s subentry for 'feruenter'	siue	lexicalEntry:n07920.e02	
lexicogComponent:n07958.e02_comp	Cardoso’s subentry for 'ficulneus'	siue	lexicalEntry:n07958.e02	
lexicogComponent:n07959.e02_comp	Cardoso’s subentry for 'ficus'	siue	lexicalEntry:n07959.e02	
lexicogComponent:n08074.e02_comp	Cardoso’s subentry for 'flaccesco'	siue	lexicalEntry:n08074.e02	
lexicogComponent:n08101.e02_comp	Cardoso’s subentry for 'flammiger'	siue	lexicalEntry:n08101.e02	
lexicogComponent:n08131.e02_comp	Cardoso’s subentry for 'floresco'	siue	lexicalEntry:n08131.e02	
lexicogComponent:n08132.e02_comp	Cardoso’s subentry for 'floridus'	siue	lexicalEntry:n08132.e02	
lexicogComponent:n08133.e02_comp	Cardoso’s subentry for 'floriger'	siue	lexicalEntry:n08133.e02	
lexicogComponent:n08208.e02_comp	Cardoso’s subentry for 'foenisex'	siue	lexicalEntry:n08208.e02	
lexicogComponent:n08407.e02_comp	Cardoso’s subentry for 'frigesco'	vel	lexicalEntry:n08407.e02	
lexicogComponent:n08427.e02_comp	Cardoso’s subentry for 'frondesco'	siue	lexicalEntry:n08427.e02	
lexicogComponent:n08454.e02_comp	Cardoso’s subentry for 'frumentator'	vel	lexicalEntry:n08454.e02	
lexicogComponent:n08464.e02_comp	Cardoso’s subentry for 'frustror'	vel	lexicalEntry:n08464.e02	
lexicogComponent:n08496.e02_comp	Cardoso’s subentry for 'fulcimentum'	siue	lexicalEntry:n08496.e02	
lexicogComponent:n08497.e02_comp	Cardoso’s subentry for 'fulgesco'	siue	lexicalEntry:n08497.e02	
lexicogComponent:n08499.e02_comp	Cardoso’s subentry for 'fulgor'	siue	lexicalEntry:n08499.e02	
lexicogComponent:n08518.e02_comp	Cardoso’s subentry for 'fumifer'	vel	lexicalEntry:n08518.e02	
