ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n1677.sg01.s01						cousa		 cousa , que nunca falta 	dat.
lexicalSense:n1678.sg01.s01						descobridor		 descobridor , ou descobridora 	Com 2.
lexicalSense:n1678.sg01.s02						indice		 indice , ou taboada dos livros , dedo , indice , pedra de toque 	masc.
lexicalSense:n1679.sg01.s01						mostrar		 mostrar , descobrir o segredo 	Aliquid alicui
lexicalSense:n1679.sg01.s02		Indicare etiam dicitur			qui merci suae pretium statuit		 qui merci suae pretium statuit 		
lexicalSense:n1679.sg10.s01						a estimaçaõ		 a estimaçaõ , e preço , que o dono poem á cousa , que vende 	
lexicalSense:n1679.sg20.s01						a estimaçaõ da cousa		 a estimaçaõ da cousa 	
lexicalSense:n1680.sg01.s01	usageExample:n1680.sg01.s01.u01					denunciar		 denunciar , ou pregoar solemnemente , e com authoridade 	
lexicalSense:n1680.sg10.s01						cousa denunciada		 cousa denunciada , e promulgada solemnemente 	
lexicalSense:n1680.sg10.s02						cousa naõ promulgada		 cousa naõ promulgada , ou naõ ditta 	
lexicalSense:n1681.sg01.s01						do mesmo lugar		 do mesmo lugar 	
lexicalSense:n1682.sg01.s01						o natural do lugar onde mora		 o natural do lugar onde mora 	
lexicalSense:n1683.sg01.s01	usageExample:n1683.sg01.s01.u01					ter necessidade		 ter necessidade 	
lexicalSense:n1684.sg01.s01						Santo		 Santo , ou Santa canonizados 	
lexicalSense:n1685.sg01.s01						cousa indigna		 cousa indigna , naõ merecedora 	
lexicalSense:n1686.sg01.s01						cousa necessitada		 cousa necessitada 	
lexicalSense:n1687.sg01.s01	usageExample:n1687.sg01.s01.u01, usageExample:n1687.sg01.s01.u02					por		 por , impor , meter dentro 	
lexicalSense:n1687.sg01.s99	usageExample:n1687.sg01.s99.u01, usageExample:n1687.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1688.sg01.s01						cousa rude		 cousa rude , sem letras , ignorante 	
lexicalSense:n1689.sg01.s01	usageExample:n1689.sg01.s01.u01, usageExample:n1689.sg01.s01.u02					dormir sobre alguma cousa		 dormir sobre alguma cousa 	
lexicalSense:n1690.sg01.s01						as treguas		 as treguas 	
lexicalSense:n1691.sg01.s01	usageExample:n1691.sg01.s01.u01					meter dentro		 meter dentro 	
lexicalSense:n1691.sg01.s02	usageExample:n1691.sg01.s02.u01	Induco, por				induzir		 induzir , enganar , persuadir 	accus.
lexicalSense:n1691.sg01.s03		Ponitur item			pro Delere	riscar	 pro Delere 	 riscar , o que esta escrito 	
lexicalSense:n1691.sg01.s04		&			pro Introducere aliquem loquentem		 pro Introducere aliquem loquentem 		
lexicalSense:n1691.sg01.s99	usageExample:n1691.sg01.s99.u01, usageExample:n1691.sg01.s99.u02, usageExample:n1691.sg01.s99.u03, usageExample:n1691.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1692.sg01.s01	usageExample:n1692.sg01.s01.u01					comprazer		 comprazer , condescender , perdoar , permittir mais , do que he bem 	
lexicalSense:n1692.sg01.s02	usageExample:n1692.sg01.s02.u01, usageExample:n1692.sg01.s02.u02, usageExample:n1692.sg01.s02.u03	Ponitur item			pro Operam dare		 pro Operam dare 		
lexicalSense:n1692.sg01.s03	usageExample:n1692.sg01.s03.u01	Significat etiam				conceder		 conceder , ou dar facilmente 	
lexicalSense:n1693.sg01.s01	usageExample:n1693.sg01.s01.u01, usageExample:n1693.sg01.s01.u02, usageExample:n1693.sg01.s01.u03, usageExample:n1693.sg01.s01.u04, usageExample:n1693.sg01.s01.u05					vestir		 vestir 	
lexicalSense:n1693.sg01.s02	usageExample:n1693.sg01.s02.u01	Aliquando			pro Implico		 pro Implico 		
lexicalSense:n1693.sg01.s03	usageExample:n1693.sg01.s03.u01				pro Ferio		 pro Ferio , Occido 		
lexicalSense:n1694.sg01.s01						cousa inefficaz		 cousa inefficaz 	
lexicalSense:n1695.sg01.s01						andar daqui para alli		 andar daqui para alli 	
lexicalSense:n1695.sg10.s01						cousa fixa		 cousa fixa 	
lexicalSense:n1695.sg10.s99	usageExample:n1695.sg10.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1696.sg01.s01	usageExample:n1696.sg01.s01.u01, usageExample:n1696.sg01.s01.u02					cousa naõ experimentada		 cousa naõ experimentada 	
lexicalSense:n1697.sg01.s01						cousa infame		 cousa infame 	dat.
lexicalSense:n1698.sg01.s01	usageExample:n1698.sg01.s01.u01					infamar		 infamar 	
lexicalSense:n1698.sg01.s02		Aliquando			pro Divulgare		 pro Divulgare 		cum accus. tantùm.
lexicalSense:n1699.sg01.s01						cousa immensa		 cousa immensa , illicita , que se naõ pode contar 	
lexicalSense:n1699.sg01.s02		ou				nefanda		 nefanda , que se naõ deve fallar 	
lexicalSense:n1699.sg10.s01						cousa indigna de se dizer		 cousa indigna de se dizer 	
lexicalSense:n1700.sg01.s01		propriè				menino		 menino , ou menina , que naõ falla 	
lexicalSense:n1700.sg10.s01		Ponitur adjectivè			pro re parva		 pro re parva 		
lexicalSense:n1700.sg10.s02		& etiam			pro stulto		 pro stulto 		
lexicalSense:n1701.sg01.s01						cousa infeliz		 cousa infeliz , e desgraçada 	
lexicalSense:n1702.sg01.s01						Inferno		 Inferno , ou seus moradores 	
lexicalSense:n1703.sg01.s01						cousa irada		 cousa irada , ou que deseja mal a alguem , ou cousa , que tem inimigos , e odiosa 	
lexicalSense:n1704.sg01.s01						sacrificios pelos defuntos		 sacrificios pelos defuntos 	
lexicalSense:n1705.sg01.s01	usageExample:n1705.sg01.s01.u01, usageExample:n1705.sg01.s01.u02					cousa mais baixa		 cousa mais baixa , ou inferior 	compar. ab infra, & certé ab Inferus, a, um; cum dat. saepe, & aliquando abl.
lexicalSense:n1705.sg10.s01						mais abaixo		 mais abaixo 	cum abl.
lexicalSense:n1705.sg20.s01						cousa muito baixa		 cousa muito baixa 	
lexicalSense:n1706.sg01.s01						cousa que está debaixo de nos		 cousa que está debaixo de nos 	
lexicalSense:n1706.sg10.s01						debaixo		 debaixo 	
lexicalSense:n1706.sg20.s01						cousa debaixo		 cousa debaixo 	
lexicalSense:n1707.sg01.s01	usageExample:n1707.sg01.s01.u01, usageExample:n1707.sg01.s01.u02, usageExample:n1707.sg01.s01.u03, usageExample:n1707.sg01.s01.u04, usageExample:n1707.sg01.s01.u05					meter		 meter , ou trazer para dentro 	
lexicalSense:n1707.sg01.s02		Significat etiam				inferir		 inferir , ou concluir 	
lexicalSense:n1708.sg01.s01					idem		 idem , quod infensus 		suprà
lexicalSense:n1708.sg01.s02		ou				cousa contraria		 cousa contraria , e que tem má vontade a alguem 	dativ.
lexicalSense:n1708.sg10.s01						inquietar		 inquietar , molestar , ou affligir de varios modos , fazer mal 	
lexicalSense:n1708.sg20.s01		passivè			pro eo	cousa molestada	 pro eo , qui infestatur 	 cousa molestada , afflicta , ou sojeita a perigos , e molestias 	
lexicalSense:n1708.sg20.s99	usageExample:n1708.sg20.s99.u01, usageExample:n1708.sg20.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
