ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n0856.sg01.s01	usageExample:n0856.sg01.s01.u01					contrahir		 contrahir , ajuntar , abreviar , estreitar , encolher 	
lexicalSense:n0856.sg01.s99	usageExample:n0856.sg01.s99.u01, usageExample:n0856.sg01.s99.u02, usageExample:n0856.sg01.s99.u03, usageExample:n0856.sg01.s99.u04, usageExample:n0856.sg01.s99.u05, usageExample:n0856.sg01.s99.u06		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0857.sg01.s01	usageExample:n0857.sg01.s01.u01					cousa contraria		 cousa contraria 	
lexicalSense:n0858.sg01.s01						companheiro		 companheiro , ou companheira de casa 	
lexicalSense:n0859.sg01.s01	usageExample:n0859.sg01.s01.u01, usageExample:n0859.sg01.s01.u02					quebrar		 quebrar , domar , pizar 	
lexicalSense:n0860.sg01.s01						fallar conforme a razaõ		 fallar conforme a razaõ 	
lexicalSense:n0861.sg01.s01						vir com outro		 vir com outro , ajuntar - se , concordar 	
lexicalSense:n0861.sg01.s02		Ponitur item cum accus.			pro Vocare in judicium		 pro Vocare in judicium 		
lexicalSense:n0861.sg01.s03	usageExample:n0861.sg01.s03.u01, usageExample:n0861.sg01.s03.u02	Por				ser conveniente		 ser conveniente , ou decente 	dativ. sed in tertiis tantùm personis
lexicalSense:n0861.sg01.s99	usageExample:n0861.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0862.sg01.s01	usageExample:n0862.sg01.s01.u01, usageExample:n0862.sg01.s01.u02					arguir		 arguir , convencer 	
lexicalSense:n0863.sg01.s01	usageExample:n0863.sg01.s01.u01					viver		 viver , ou comer juntamente 	
lexicalSense:n0864.sg01.s01						convidado		 convidado , ou convidada 	
lexicalSense:n0865.sg01.s01						cousa abundante		 cousa abundante 	genit. vel abl.
lexicalSense:n0866.sg01.s01	usageExample:n0866.sg01.s01.u01					atar		 atar , ajuntar 	
lexicalSense:n0867.sg01.s01	usageExample:n0867.sg01.s01.u01					cozer		 cozer 	
lexicalSense:n0867.sg01.s99	usageExample:n0867.sg01.s99.u01, usageExample:n0867.sg01.s99.u02, usageExample:n0867.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0868.sg01.s01						o coraçaõ		 o coraçaõ 	
lexicalSense:n0868.sg01.s02	usageExample:n0868.sg01.s02.u01, usageExample:n0868.sg01.s02.u02	Interdum			pro animo		 pro animo , sive mente 		
lexicalSense:n0869.sg01.s01						diante		 diante , em presença 	
lexicalSense:n0870.sg01.s01						o corvo		 o corvo , e hum orador 	
lexicalSense:n0871.sg01.s01						o cesto de vime		 o cesto de vime 	
lexicalSense:n0872.sg01.s01						couro		 couro , ou pelle 	
lexicalSense:n0872.sg01.s99	usageExample:n0872.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0873.sg01.s01						o que tange corneta		 o que tange corneta , ou trombeta bastarda 	
lexicalSense:n0874.sg01.s01						cousa que tem pés de corno		 cousa que tem pés de corno 	
lexicalSense:n0875.sg01.s01						a gralha		 a gralha 	
lexicalSense:n0875.sg01.s99	usageExample:n0875.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0876.sg01.s01						corno		 corno , ponta , ou trombeta retrocida 	
lexicalSense:n0876.sg01.s99	usageExample:n0876.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0876.sg10.s01						a cerejeira brava		 a cerejeira brava 	
lexicalSense:n0876.sg20.s01					fructus hujus arboris		 fructus hujus arboris 		
lexicalSense:n0877.sg01.s01						o remate		 o remate , ou fim 	
lexicalSense:n0878.sg01.s01						o corpo		 o corpo , ou volume de livro 	
lexicalSense:n0878.sg01.s99	usageExample:n0878.sg01.s99.u01, usageExample:n0878.sg01.s99.u02, usageExample:n0878.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0879.sg01.s01						emendar		 emendar 	Act.
lexicalSense:n0880.sg01.s01						arrebatar		 arrebatar , abreviar , reprehender , castigar 	
lexicalSense:n0881.sg01.s01						cortiça		 cortiça 	
lexicalSense:n0881.sg01.s99	usageExample:n0881.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0882.sg01.s01						a pedra de affiar		 a pedra de affiar 	
lexicalSense:n0883.sg01.s01						bicho		 bicho , que roe a madeira 	
lexicalSense:n0884.sg01.s01						costo		 costo , herva cheirosa 	
lexicalSense:n0885.sg01.s01						hum Rey de Thracia		 hum Rey de Thracia 	
lexicalSense:n0886.sg01.s01						a coxa da perna		 a coxa da perna 	
lexicalSense:n0887.sg01.s01						hum Filozofo discipulo da Plataõ		 hum Filozofo discipulo da Plataõ 	
lexicalSense:n0888.sg01.s01						amanhã		 amanhã 	
lexicalSense:n0888.sg01.s02	usageExample:n0888.sg01.s02.u01								Ponitur & substantivè
lexicalSense:n0889.sg01.s01	usageExample:n0889.sg01.s01.u01, usageExample:n0889.sg01.s01.u02					cousa de amanhã		 cousa de amanhã 	
lexicalSense:n0890.sg01.s01						taça de beber		 taça de beber , ou da fonte 	
lexicalSense:n0890.sg01.s99	usageExample:n0890.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0891.sg01.s01	usageExample:n0891.sg01.s01.u01					crer		 crer 	
lexicalSense:n0891.sg01.s02	usageExample:n0891.sg01.s02.u01	Por				entregar		 entregar , ou confiar alguma cousa de alguem 	accus. & dat
lexicalSense:n0891.sg01.s03	usageExample:n0891.sg01.s03.u01	Ponitur & absolutè			pro Puto		 pro Puto , vel Certè 		
lexicalSense:n0891.sg01.s99	usageExample:n0891.sg01.s99.u01, usageExample:n0891.sg01.s99.u02, usageExample:n0891.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0892.sg01.s01						cousa		 cousa , que cre tudo facilmente 	dat.
lexicalSense:n0893.sg01.s01						ranger		 ranger , estalar , fazer ruido 	Neutr.
lexicalSense:n0893.sg01.s02	usageExample:n0893.sg01.s02.u01	Interdum cum accus.			pro Queri		 pro Queri 		
lexicalSense:n0894.sg01.s01						as mantilhas		 as mantilhas , ou brincos , que trazem os meninos , ou com que brincaõ 	
lexicalSense:n0895.sg01.s01						o natural da Ilha de Creta		 o natural da Ilha de Creta 	Mulieres Cressae dicuntur.
lexicalSense:n0896.sg01.s01	usageExample:n0896.sg01.s01.u01					o accusador		 o accusador , que poem suspeitas de crime , ou cousa criminosa , que em si tem crime 	cum dat.
lexicalSense:n0897.sg01.s01						o cabello		 o cabello 	
lexicalSense:n0898.sg01.s01						o açafraõ		 o açafraõ 	
lexicalSense:n0899.sg01.s01						cousa cruel		 cousa cruel , aspera , deshumana 	dat.
lexicalSense:n0900.sg01.s01						a perna		 a perna 	
lexicalSense:n0901.sg01.s01						a casca		 a casca , ou codea , que naõ he de comer 	
lexicalSense:n0901.sg01.s02		ou				pedaços delgados de marmore		 pedaços delgados de marmore , ou de outra materia por modo de tijolos 	
lexicalSense:n0901.sg01.s03					In vasis item aureis	os esmaltes	 In vasis item aureis , argenteisve crustae dicebantur lamina , vel emblemata , quae ex diverso metallo illis illigabantur 	 os esmaltes 	
lexicalSense:n0901.sg10.s01						codea de cousa de comer		 codea de cousa de comer , como paõ , pastel , etc 	
lexicalSense:n0902.sg01.s01						a cruz		 a cruz 	
lexicalSense:n0903.sg01.s01						crystal		 crystal 	
lexicalSense:n0904.sg01.s01						o leito		 o leito , ou covil de feras 	
lexicalSense:n0904.sg01.s99	usageExample:n0904.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0905.sg01.s01						o cotovelo		 o cotovelo , ou covado 	
lexicalSense:n0905.sg01.s99	usageExample:n0905.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0906.sg01.s01						jazer		 jazer , estar deitado 	Neutr. absol.
lexicalSense:n0907.sg01.s01						o pepino		 o pepino , ou cogombro 	
lexicalSense:n0907.sg01.s02		Est item			genus piscis		 genus piscis 		
lexicalSense:n0908.sg01.s01						malhar		 malhar , bater 	
lexicalSense:n0908.sg01.s99	usageExample:n0908.sg01.s99.u01, usageExample:n0908.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0909.sg01.s01						casquete de couro		 casquete de couro 	
lexicalSense:n0910.sg01.s01						de que terra? De que naçaõ		 de que terra ? De que naçaõ , ou familia ? De que seita , ou bando ? 	
lexicalSense:n0911.sg01.s01						de quem?		 de quem ? 	Pro eo utimur genitivo Cujus à Quis.
lexicalSense:n0911.sg01.s99	usageExample:n0911.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0912.sg01.s01						odre		 odre , sacco , ou couro , talha , ou pipa de 20 almudes 	
lexicalSense:n0913.sg01.s01						com		 com 	
lexicalSense:n0913.sg10.s01	usageExample:n0913.sg10.s01.u01					quando		 quando , depois , já que , posto que 	cum conjunctivo, & Tamen
lexicalSense:n0914.sg01.s01						Cumas		 Cumas , Cidade de Italia 	
lexicalSense:n0914.sg10.s01					urbs est Aeolicarum maxima		 urbs est Aeolicarum maxima , è qua cognominata est Sibylla Cumaea , quae & Erythraea dicitur 		
lexicalSense:n0914.sg10.s02					Sunt & aliae hujus nominis urbes		 Sunt & aliae hujus nominis urbes 		
lexicalSense:n0914.sg10.s03		&			insula prope Siciliam		 insula prope Siciliam , cujus incolae stupidi habebantur 		olim enim vulgatum erat in tota Asia proverbium: Cumaei serò sapiunt.
lexicalSense:n0915.sg01.s01						muito		 muito 	
lexicalSense:n0915.sg01.s02						entre os principais		 entre os principais 	
lexicalSense:n0916.sg01.s01	usageExample:n0916.sg01.s01.u01					accumular		 accumular , accrescentar , encher 	
lexicalSense:n0917.sg01.s01						berço		 berço , ou lugar , onde nos criamos , principio , ou origem 	
lexicalSense:n0918.sg01.s01						tudo juntamente		 tudo juntamente 	
lexicalSense:n0919.sg01.s01						cobiça; desejo		 cobiça ; desejo 	cupiditas tamen levior est, quàm cupido.
lexicalSense:n0920.sg01.s01						cousa cobiçosa		 cousa cobiçosa 	cum gen.
lexicalSense:n0921.sg01.s01						cubiçar		 cubiçar , desejar 	Act.
lexicalSense:n0921.sg01.s99	usageExample:n0921.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0922.sg01.s01						Porque?		 Porque ? 	
lexicalSense:n0923.sg01.s01						cousa curiosa		 cousa curiosa 	cum gen.
lexicalSense:n0924.sg01.s01						Curio		 Curio , varaõ Romano de grande esforço , e temperança 	Dentatus dictus, quòd cum dentibus natus fit.
lexicalSense:n0925.sg01.s01						carro		 carro , ou coche pequeno , carreira , ou curso 	
lexicalSense:n0925.sg10.s01						de carreira		 de carreira , depressa 	
lexicalSense:n0926.sg01.s01						correr		 correr 	
lexicalSense:n0926.sg01.s99	usageExample:n0926.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0927.sg01.s01						o carro		 o carro , ou carroça triunfal 	
lexicalSense:n0927.sg01.s99	usageExample:n0927.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0928.sg01.s99	usageExample:n0928.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0928.sg10.s01						a cadeira		 a cadeira 	
lexicalSense:n0929.sg01.s01						a ponta da espada		 a ponta da espada , lança , etc 	
lexicalSense:n0929.sg01.s99	usageExample:n0929.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0930.sg01.s01						vigias		 vigias , guardas , prisioneiros 	
lexicalSense:n0930.sg10.s01						presidio		 presidio , guarda , prisaõ 	
lexicalSense:n0931.sg01.s01						o que		 o que , ou a que guarda , ou defende 	
lexicalSense:n0932.sg01.s01						Cyclope		 Cyclope , gigante 	Cyclopes aeris fabricam primi invenere: unum oculum in fronte habebant.
lexicalSense:n0933.sg01.s01						cousa de Cyclopes		 cousa de Cyclopes 	
lexicalSense:n0933.sg01.s99	usageExample:n0933.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0934.sg01.s01						Cisne		 Cisne 	Latinè Olor.
lexicalSense:n0935.sg01.s01						huma Nynfa do mar		 huma Nynfa do mar , e huma fonte 	
lexicalSense:n0936.sg01.s01						a junça cheirosa		 a junça cheirosa 	
lexicalSense:n0937.sg01.s01						huma Cidade de Africa		 huma Cidade de Africa 	
lexicalSense:n0938.sg01.s01						huma Ilha do mar Mediterraneo		 huma Ilha do mar Mediterraneo 	
lexicalSense:n0939.sg01.s01						nome de Venus Cytherea		 nome de Venus Cytherea 	
lexicalSense:n0940.sg01.s01						dedo		 dedo 	
lexicalSense:n0940.sg01.s02						pé de verso		 pé de verso 	
lexicalSense:n0940.sg01.s03						támara		 támara 	
lexicalSense:n0940.sg01.s04						certo marisco		 certo marisco 	
lexicalSense:n0940.sg01.s99	usageExample:n0940.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0941.sg01.s01						cousa de Dedalo engenhoso artifice		 cousa de Dedalo engenhoso artifice , e insigne em arquitectura 	
lexicalSense:n0941.sg10.s01						cousa artificiosa		 cousa artificiosa , engenhosa com variedade 	Cum gen. invenitur.
lexicalSense:n0942.sg01.s01						a corça		 a corça , cabra montez 	
lexicalSense:n0943.sg01.s01						condenar		 condenar , fazer condenar , culpar 	
lexicalSense:n0943.sg01.s99	usageExample:n0943.sg01.s99.u01, usageExample:n0943.sg01.s99.u02, usageExample:n0943.sg01.s99.u03, usageExample:n0943.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0944.sg01.s01						Daniel Propheta		 Daniel Propheta 	
lexicalSense:n0945.sg01.s01						filho de Mercurio		 filho de Mercurio , natural de Sicilia , inventor dos versos pastorîz 	
lexicalSense:n0945.sg01.s02					Fuere aliqua hujus nominis loca		 Fuere aliqua hujus nominis loca 		
lexicalSense:n0946.sg01.s01						iguaria custosa		 iguaria custosa , ou de sacrificio 	
lexicalSense:n0947.sg01.s01						Troiano natural de Dardania		 Troiano natural de Dardania , ou Troia 	
lexicalSense:n0948.sg01.s01						A Troiana		 A Troiana 	
lexicalSense:n0949.sg01.s01						hum historiador Troiano		 hum historiador Troiano , e hum companheiro de Eneas 	
lexicalSense:n0949.sg01.s99	usageExample:n0949.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0950.sg01.s01						nome de dous Reys dos Persas		 nome de dous Reys dos Persas 	
lexicalSense:n0951.sg01.s01						o coelho		 o coelho 	
lexicalSense:n0952.sg01.s01						David		 David , Rey de Judéa , e Propheta 	
lexicalSense:n0953.sg01.s01						ácerca		 ácerca , ou sobre 	
lexicalSense:n0953.sg01.s99	usageExample:n0953.sg01.s99.u01, usageExample:n0953.sg01.s99.u02, usageExample:n0953.sg01.s99.u03, usageExample:n0953.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0954.sg01.s01						a Deosa		 a Deosa 	
lexicalSense:n0955.sg01.s01						amar muito de coraçaõ		 amar muito de coraçaõ 	
lexicalSense:n0956.sg01.s01						regiaõ de Syria proxima a Judea		 regiaõ de Syria proxima a Judea 	
lexicalSense:n0957.sg01.s01						dez		 dez 	
lexicalSense:n0958.sg01.s01	usageExample:n0958.sg01.s01.u01, usageExample:n0958.sg01.s01.u02					decretar		 decretar , concluir , determinar 	
lexicalSense:n0959.sg01.s01						colher		 colher , tirar huma cousa de outra 	
lexicalSense:n0960.sg01.s01						convir com decencia		 convir com decencia 	accus.
lexicalSense:n0960.sg10.s01		i			pulchrum		 pulchrum , aptum , conveniens 		
lexicalSense:n0962.sg01.s01						declarar		 declarar , mostrar claramente 	accus. & dat.
lexicalSense:n0962.sg01.s99	usageExample:n0962.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0963.sg01.s01	usageExample:n0963.sg01.s01.u01, usageExample:n0963.sg01.s01.u02, usageExample:n0963.sg01.s01.u03					diminuir		 diminuir , consumir cozendo , gastar mal , ou desperdiçar a fazenda 	
lexicalSense:n0964.sg01.s01						cousa formosa		 cousa formosa , decente , honesta , conveniente 	cum dat.
lexicalSense:n0965.sg01.s01						honra		 honra , honestidade , louvor , ornato 	
lexicalSense:n0966.sg01.s01		id est			decem asses	moeda de dous vintens	 decem asses 	 moeda de dous vintens , ou figura á maneira de cruz deste modo , X 	
lexicalSense:n0966.sg10.s01					est aliquid ad ejus figurae imaginem redigere	cruzar	 est aliquid ad ejus figurae imaginem redigere 	 cruzar 	
lexicalSense:n0967.sg01.s01						ser indecente alguma cousa a alguem		 ser indecente alguma cousa a alguem 	accus.
lexicalSense:n0968.sg01.s01						cousa torpe		 cousa torpe , ignominiosa , sem honra 	
lexicalSense:n0969.sg01.s01						deshonra		 deshonra , ignominia , infamia 	neutr.
lexicalSense:n0970.sg01.s01						dar		 dar , render , entregar de todo , e para sempre 	
lexicalSense:n0970.sg01.s99	usageExample:n0970.sg01.s99.u01, usageExample:n0970.sg01.s99.u02, usageExample:n0970.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0971.sg01.s01						ensinar o contrário		 ensinar o contrário 	
lexicalSense:n0972.sg01.s01						trazer de cima para baixo		 trazer de cima para baixo , ou de hum lugar para outro 	
lexicalSense:n0972.sg01.s02						trazer		 trazer , ou levar guiando , deduzir , estender , apartar 	
lexicalSense:n0972.sg01.s99	usageExample:n0972.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0972.sg10.s01					qui honoris causâ aliquem deducit		 qui honoris causâ aliquem deducit , & comitatum traestat 		
lexicalSense:n0973.sg01.s01	usageExample:n0973.sg01.s01.u01					cousa desfallecida		 cousa desfallecida , destituida 	
lexicalSense:n0974.sg01.s01	usageExample:n0974.sg01.s01.u01, usageExample:n0974.sg01.s01.u02					defender		 defender 	
lexicalSense:n0975.sg01.s01						trazer		 trazer , levar , offerecer , dar , entregar 	accus. & dat.
lexicalSense:n0975.sg01.s99	usageExample:n0975.sg01.s99.u01, usageExample:n0975.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0976.sg01.s01						desfallecer		 desfallecer , ou carecer 	abl.
lexicalSense:n0976.sg01.s02	usageExample:n0976.sg01.s02.u01	Por				faltar		 faltar 	accus. melius, quàm dat. cum nominativo rei inanimatae
lexicalSense:n0976.sg01.s03	usageExample:n0976.sg01.s03.u01, usageExample:n0976.sg01.s03.u02, usageExample:n0976.sg01.s03.u03	Significa támbem				rebellar-se		 rebellar - se , ou passar - se de huma parte para outra contraria 	
lexicalSense:n0976.sg10.s01	usageExample:n0976.sg10.s01.u01	cum abl.			pro Deficio		 pro Deficio 		
lexicalSense:n0977.sg01.s01						faltar		 faltar 	cum dat.
lexicalSense:n0978.sg01.s01	usageExample:n0978.sg01.s01.u01					enganar		 enganar , tomar por enganos , ou defraudar 	cum accus. & abl.
lexicalSense:n0979.sg01.s01						o arrobe		 o arrobe 	
lexicalSense:n0980.sg01.s01	usageExample:n0980.sg01.s01.u01					cousa vil		 cousa vil , que degenera 	
lexicalSense:n0981.sg01.s01						tirar a casca		 tirar a casca , esfollar 	Act.
lexicalSense:n0982.sg01.s01						viver		 viver 	
lexicalSense:n0982.sg01.s99	usageExample:n0982.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0983.sg01.s01						da qui por diante		 da qui por diante , depois 	
lexicalSense:n0984.sg01.s01						dissuadir		 dissuadir 	Aliquem ab aliqua re.
lexicalSense:n0985.sg01.s01	usageExample:n0985.sg01.s01.u01					affirmar com juramento		 affirmar com juramento 	
lexicalSense:n0986.sg01.s01						derribar		 derribar , lançar abaixo 	
lexicalSense:n0986.sg01.s99	usageExample:n0986.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0987.sg01.s01						depois disso		 depois disso , immediatamente depois , por ordem 	
lexicalSense:n0988.sg01.s01						depois disto		 depois disto 	
lexicalSense:n0989.sg01.s01						attrahir		 attrahir , deleitar , recrear 	accus.
lexicalSense:n0990.sg01.s01						gostar		 gostar , deleitar - se 	aliqua re. depon.
lexicalSense:n0991.sg01.s01						delegar		 delegar , remetter 	Aliquid alicui.
lexicalSense:n0992.sg01.s01						apagar		 apagar , ou riscar , raspar , destruir 	Activ.
lexicalSense:n0993.sg01.s01	usageExample:n0993.sg01.s01.u01					cousa untada		 cousa untada 	
lexicalSense:n0994.sg01.s01						deleites		 deleites , regalos 	
lexicalSense:n0994.sg01.s99	usageExample:n0994.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0995.sg01.s01						delinquir		 delinquir , peccar por omissaõ , accus 	
lexicalSense:n0996.sg01.s01						huma Ilha do mar Egeo		 huma Ilha do mar Egeo 	Ortygia olim.
lexicalSense:n0997.sg01.s01						Solona		 Solona , Cidade de Grecia 	
lexicalSense:n0997.sg01.s99	usageExample:n0997.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0998.sg01.s01						golfinho		 golfinho 	
lexicalSense:n0998.sg01.s99	usageExample:n0998.sg01.s99.u01, usageExample:n0998.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0999.sg01.s01	usageExample:n0999.sg01.s01.u01, usageExample:n0999.sg01.s01.u03					tirar		 tirar 	
lexicalSense:n1000.sg01.s01						mostrar claramente		 mostrar claramente 	Aliquid alicui.
lexicalSense:n1001.sg01.s01						Rey de Athenas filho de Theseu		 Rey de Athenas filho de Theseu 	
lexicalSense:n1002.sg01.s01						dous vintens		 dous vintens 	
lexicalSense:n1003.sg01.s01						o dente		 o dente 	
lexicalSense:n1003.sg01.s02		toma-se tambem Dens pela				chave		 chave 	
lexicalSense:n1003.sg01.s99	usageExample:n1003.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1004.sg01.s01						para baixo		 para baixo 	
lexicalSense:n1005.sg01.s01						empuxar		 empuxar , apartar 	
lexicalSense:n1005.sg01.s99	usageExample:n1005.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1006.sg01.s01						destruir		 destruir , saquear , roubar 	
lexicalSense:n1007.sg01.s01						rogar fortemente com vehemencia		 rogar fortemente com vehemencia 	Aliquid ab aliquo.
lexicalSense:n1007.sg01.s02		Saepè contrarium significat				abominar		 abominar , pedir com rogos , que se naõ faça , ou naõ succeda alguma cousa 	
lexicalSense:n1007.sg01.s03	usageExample:n1007.sg01.s03.u01					rejeitar		 rejeitar , lançar de si 	
lexicalSense:n1008.sg01.s01						abaixar		 abaixar , abater , humilhar 	
lexicalSense:n1008.sg01.s99	usageExample:n1008.sg01.s99.u01, usageExample:n1008.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1009.sg01.s01						deixar de todo		 deixar de todo , desamparar 	Act.
lexicalSense:n1010.sg01.s01	usageExample:n1010.sg01.s01.u01					descer		 descer 	
