lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n0092	Velez’s entry for 'Adequito'		lexicalEntry:n0092.e01		224. 5.
lexicogEntry:n0093	Velez’s entry for 'Adhaereo'		lexicalEntry:n0093.e01		Ibidem.
lexicogEntry:n0094	Velez’s entry for 'Adhaeresco'		lexicalEntry:n0094.e01		Ibidem.
lexicogEntry:n0095	Velez’s entry for 'Adhibeo'		lexicalEntry:n0095.e01		233. 12.
lexicogEntry:n0096	Velez’s entry for 'Adjaceo'		lexicalEntry:n0096.e01		224.
lexicogEntry:n0097	Velez’s entry for 'Adigo'		lexicalEntry:n0097.e01		233. 12.
lexicogEntry:n0098	Velez’s entry for 'Adjicio'		lexicalEntry:n0098.e01		Ibidem.
lexicogEntry:n0099	Velez’s entry for 'Adimo'		lexicalEntry:n0099.e01		233. 1.
lexicogEntry:n0100	Velez’s entry for 'Adipiscor'		lexicalEntry:n0100.e01		197. 21. 239. 31.
lexicogEntry:n0101	Velez’s entry for 'Adjudico'		lexicalEntry:n0101.e01		233. 12.
lexicogEntry:n0102	Velez’s entry for 'Adjungo'		lexicalEntry:n0102.e01		Ibidem.
lexicogEntry:n0103	Velez’s entry for 'Admetior'		lexicalEntry:n0103.e01		232. 31. 233. 13.
lexicogEntry:n0104	Velez’s entry for 'Admiror'		lexicalEntry:n0104.e01		227. 27.
lexicogEntry:n0105	Velez’s entry for 'Admisceo'		lexicalEntry:n0105.e01		233. 13.
lexicogEntry:n0106	Velez’s entry for 'Admitto'		lexicalEntry:n0106.e01		263. 10.
lexicogEntry:n0107	Velez’s entry for 'Admodum'		lexicalEntry:n0107.e01		271. 25.
lexicogEntry:n0108	Velez’s entry for 'Admoneo'		lexicalEntry:n0108.e01		229. 22. 234. 27.
lexicogEntry:n0109	Velez’s entry for 'Admonitus'		lexicalEntry:n0109.e01	lexicogComponent:n0109.e03_comp	162. 11.
lexicogEntry:n0110	Velez’s entry for 'Admoveo'		lexicalEntry:n0110.e01	lexicogComponent:n0110.e01_comp	233. 13.
lexicogEntry:n0111	Velez’s entry for 'Adnascor'		lexicalEntry:n0111.e01		224. 7.
lexicogEntry:n0112	Velez’s entry for 'Adnato'		lexicalEntry:n0112.e01		Ibidem.
lexicogEntry:n0113	Velez’s entry for 'Adnitor'		lexicalEntry:n0113.e01		224. 8.
lexicogEntry:n0114	Velez’s entry for 'Adno'		lexicalEntry:n0114.e01		Ibidem. 7.
lexicogEntry:n0115	Velez’s entry for 'Adoleo'		lexicalEntry:n0115.e01		184. 23.
lexicogEntry:n0116	Velez’s entry for 'Adolesco'		lexicalEntry:n0116.e01		Ibidem.
lexicogEntry:n0117	Velez’s entry for 'Adolescens'		lexicalEntry:n0117.e01		121. 10.
lexicogEntry:n0118	Velez’s entry for 'Adonis'		lexicalEntry:n0118.e01	lexicogComponent:n0118.e01_comp	146. 14. & 18.
lexicogEntry:n0119	Velez’s entry for 'Adopto'		lexicalEntry:n0119.e01		233. 13.
lexicogEntry:n0120	Velez’s entry for 'Ador'		lexicalEntry:n0120.e01		126. 5. 25. & 162. 21.
lexicogEntry:n0121	Velez’s entry for 'Adoro'		lexicalEntry:n0121.e01		303. 3.
lexicogEntry:n0122	Velez’s entry for 'Adrastine'		lexicalEntry:n0122.e01		357. 8.
lexicogEntry:n0123	Velez’s entry for 'Adrepo'		lexicalEntry:n0123.e01		224. 8. & 298. 6.
lexicogEntry:n0124	Velez’s entry for 'Adria'		lexicalEntry:n0124.e01		124. 1.
lexicogEntry:n0125	Velez’s entry for 'Adscribo'		lexicalEntry:n0125.e01		233. 13.
lexicogEntry:n0126	Velez’s entry for 'Adspiro'		lexicalEntry:n0126.e01		224. 8. & 263. 1.
lexicogEntry:n0127	Velez’s entry for 'Adstipulor'		lexicalEntry:n0127.e01		224. 8.
lexicogEntry:n0128	Velez’s entry for 'Adsto'		lexicalEntry:n0128.e01		Ibidem.
lexicogEntry:n0129	Velez’s entry for 'Adstrepo'		lexicalEntry:n0129.e01		Ibidem.
lexicogEntry:n0130	Velez’s entry for 'Adstringo'		lexicalEntry:n0130.e01		228. 15. 229. 11. & 235. 32.
lexicogEntry:n0131	Velez’s entry for 'Adsum'		lexicalEntry:n0131.e01		223. 2.
lexicogEntry:n0132	Velez’s entry for 'Adveho'		lexicalEntry:n0132.e01		233. 14.
lexicogEntry:n0133	Velez’s entry for 'Advena'		lexicalEntry:n0133.e01		120. 1. & 19.
lexicogEntry:n0134	Velez’s entry for 'Advenio'		lexicalEntry:n0134.e01		224. 9.
lexicogEntry:n0135	Velez’s entry for 'Adversarius'		lexicalEntry:n0135.e01		213. 8.
lexicogEntry:n0136	Velez’s entry for 'Adversor'		lexicalEntry:n0136.e01	lexicogComponent:n0136.e01_comp	224. 9.
lexicogEntry:n0137	Velez’s entry for 'Adversùs'		lexicalEntry:n0137.e01		111. 7 & 8.
lexicogEntry:n0138	Velez’s entry for 'Adversus'		lexicalEntry:n0138.e01		213. 8.
lexicogEntry:n0139	Velez’s entry for 'Adverto'		lexicalEntry:n0139.e01		233. 14.
lexicogEntry:n0140	Velez’s entry for 'Adulor'		lexicalEntry:n0140.e01		221. 4. 12. 25.
lexicogEntry:n0141	Velez’s entry for 'Adulter'		lexicalEntry:n0141.e01		138. 24.
lexicogEntry:n0142	Velez’s entry for 'Advolito'		lexicalEntry:n0142.e01		224. 9.
lexicogEntry:n0143	Velez’s entry for 'Advolo'		lexicalEntry:n0143.e01		Ibidem.
lexicogEntry:n0144	Velez’s entry for 'Advolvo'		lexicalEntry:n0144.e01		233. 14.
lexicogEntry:n0145	Velez’s entry for 'Adytum'		lexicalEntry:n0145.e01		303. 25.
lexicogEntry:n0146	Velez’s entry for 'Aeacides'		lexicalEntry:n0146.e01		353. 18.
lexicogEntry:n0147	Velez’s entry for 'Aedes'		lexicalEntry:n0147.e01		157. 6.
lexicogEntry:n0148	Velez’s entry for 'Aedilis'		lexicalEntry:n0148.e01		154. 17.
lexicogEntry:n0149	Velez’s entry for 'Aedon'		lexicalEntry:n0149.e01		125. 13. & 25.
lexicogEntry:n0150	Velez’s entry for 'Aeetiades'		lexicalEntry:n0150.e01		255. fine.
lexicogEntry:n0151	Velez’s entry for 'Aeetias'		lexicalEntry:n0151.e01		Ibidem.
lexicogEntry:n0152	Velez’s entry for 'Aegaeon'		lexicalEntry:n0152.e01	lexicogComponent:n0152.e01_comp	310. 29
lexicogEntry:n0153	Velez’s entry for 'Aegilops'		lexicalEntry:n0153.e01		312. 5.
lexicogEntry:n0154	Velez’s entry for 'Aegina'		lexicalEntry:n0154.e01		137. 14. & 322. 8.
lexicogEntry:n0155	Velez’s entry for 'Aegoceros'		lexicalEntry:n0155.e01		147. 10.
lexicogEntry:n0156	Velez’s entry for 'Aegyptus'		lexicalEntry:n0156.e01		122. 15.
lexicogEntry:n0157	Velez’s entry for 'Aemulus'		lexicalEntry:n0157.e01		211. 24.
lexicogEntry:n0158	Velez’s entry for 'Aeneas'		lexicalEntry:n0158.e01		120. 2.
lexicogEntry:n0159	Velez’s entry for 'Aeneades'		lexicalEntry:n0159.e01		159. 6. 351. 2. 352. 13.
lexicogEntry:n0160	Velez’s entry for 'Aeneis'		lexicalEntry:n0160.e01		356. 30. 357. 5.
