ontolex.LexicalEntry	subClass	decomp.subterm	lexinfo.note	ontolex.canonicalForm	ontolex.lexicalForm	ontolex.sense	rdfs.label	skos.note
lexicalEntry:n0098.e01	ontolex:Word			lilaLemma:87454		lexicalSense:n0098.sg01.s01	Velez’s lexical entry for 'Adjicio'	
lexicalEntry:n0099.e01	ontolex:Word			lilaLemma:87456		lexicalSense:n0099.sg01.s01, lexicalSense:n0099.sg01.s99	Velez’s lexical entry for 'Adimo'	
lexicalEntry:n0100.e01	ontolex:Word		Commune,	lilaLemma:87476		lexicalSense:n0100.sg01.s01	Velez’s lexical entry for 'Adipiscor'	
lexicalEntry:n0101.e01	ontolex:Word			lilaLemma:87487		lexicalSense:n0101.sg01.s01	Velez’s lexical entry for 'Adjudico'	
lexicalEntry:n0102.e01	ontolex:Word			lilaLemma:87493		lexicalSense:n0102.sg01.s01	Velez’s lexical entry for 'Adjungo'	
lexicalEntry:n0103.e01	ontolex:Word			lilaLemma:87518		lexicalSense:n0103.sg01.s01	Velez’s lexical entry for 'Admetior'	
lexicalEntry:n0104.e01	ontolex:Word			lilaLemma:87541		lexicalSense:n0104.sg01.s01, lexicalSense:n0104.sg01.s02	Velez’s lexical entry for 'Admiror'	
lexicalEntry:n0105.e01	ontolex:Word			lilaLemma:87543		lexicalSense:n0105.sg01.s01	Velez’s lexical entry for 'Admisceo'	
lexicalEntry:n0106.e01	ontolex:Word			lilaLemma:87551		lexicalSense:n0106.sg01.s01, lexicalSense:n0106.sg01.s02, lexicalSense:n0106.sg01.s03, lexicalSense:n0106.sg01.s04, lexicalSense:n0106.sg01.s99	Velez’s lexical entry for 'Admitto'	
lexicalEntry:n0107.e01	ontolex:MultiwordExpression	lexicalEntry:n0082.e01, lexicalEntry:n0107.e01a	Adverb.	lilaLemma:87557		lexicalSense:n0107.sg01.s01, lexicalSense:n0107.sg01.s02, lexicalSense:n0107.sg01.s03, lexicalSense:n0107.sg01.s04	Velez’s lexical entry for 'Admodum'	
lexicalEntry:n0107.e01a	ontolex:Word			lilaLemma:112553			Added lexical entry for 'modus', component of a multiword expression	
lexicalEntry:n0108.e01	ontolex:Word			lilaLemma:87560		lexicalSense:n0108.sg01.s01	Velez’s lexical entry for 'Admoneo'	
lexicalEntry:n0109.e01	ontolex:Word			lilaLemma:87589		lexicalSense:n0109.sg01.s01, lexicalSense:n0109.sg01.s99	Velez’s lexical entry for 'Admonitus'	
lexicalEntry:n0109.e02	ontolex:Word			lilaLemma:87588		lexicalSense:n0109.sg01.s01, lexicalSense:n0109.sg01.s99	Velez’s lexical entry for 'admonitum'	
lexicalEntry:n0109.e03	ontolex:Word			lilaLemma:87561		lexicalSense:n0109.sg01.s01, lexicalSense:n0109.sg01.s99	Velez’s lexical entry for 'admonitio'	
lexicalEntry:n0110.e01	ontolex:Word			lilaLemma:87568		lexicalSense:n0110.sg01.s01	Velez’s lexical entry for 'Admoveo'	
lexicalEntry:n0111.e01	ontolex:Word			lilaLemma:88110		lexicalSense:n0111.sg01.s01	Velez’s lexical entry for 'Adnascor'	Vide infrà Agnascor.
lexicalEntry:n0112.e01	ontolex:Word		Frequentativum ex Adno, as,	lilaLemma:87577		lexicalSense:n0112.sg01.s01	Velez’s lexical entry for 'Adnato'	
lexicalEntry:n0113.e01	ontolex:Word			lilaLemma:87585		lexicalSense:n0113.sg01.s01	Velez’s lexical entry for 'Adnitor'	
lexicalEntry:n0114.e01	ontolex:Word			lilaLemma:87586		lexicalSense:n0114.sg01.s01, lexicalSense:n0114.sg01.s99	Velez’s lexical entry for 'Adno'	
lexicalEntry:n0115.e01	ontolex:Word			lilaLemma:88892		lexicalSense:n0115.sg01.s01	Velez’s lexical entry for 'Adoleo'	
lexicalEntry:n0116.e01	ontolex:Word			lilaLemma:87605		lexicalSense:n0116.sg01.s01	Velez’s lexical entry for 'Adolesco'	
